"timestamp","event_id","user","src_ip","status","message"
"2026-07-13 00:40:38","4672","SYSTEM","127.0.0.1","SUCCESS","Special privileges assigned to new logon."
"2026-07-13 00:40:38","4624","SYSTEM","127.0.0.1","SUCCESS","An account was successfully logged on."
"2026-07-13 00:40:45","4672","SYSTEM","127.0.0.1","SUCCESS","Special privileges assigned to new logon."
"2026-07-13 00:40:45","4624","SYSTEM","127.0.0.1","SUCCESS","An account was successfully logged on."
"2026-07-13 00:42:19","4672","DWM-13","127.0.0.1","SUCCESS","Special privileges assigned to new logon."
"2026-07-13 00:42:19","4672","DWM-13","127.0.0.1","SUCCESS","Special privileges assigned to new logon."
"2026-07-13 00:42:19","4672","SYSTEM","127.0.0.1","SUCCESS","Special privileges assigned to new logon."
"2026-07-13 00:42:19","4624","SYSTEM","127.0.0.1","SUCCESS","An account was successfully logged on."
"2026-07-13 00:42:19","4624","DWM-13","127.0.0.1","SUCCESS","An account was successfully logged on."
"2026-07-13 00:42:19","4624","UMFD-13","127.0.0.1","SUCCESS","An account was successfully logged on."
"2026-07-13 00:42:19","4648","UMFD-13","127.0.0.1","SUCCESS","A logon was attempted using explicit credentials."
"2026-07-13 00:42:19","4624","DWM-13","127.0.0.1","SUCCESS","An account was successfully logged on."
"2026-07-13 00:42:19","4648","DWM-13","127.0.0.1","SUCCESS","A logon was attempted using explicit credentials."
"2026-07-13 00:42:24","4634","UMFD-12","127.0.0.1","SUCCESS","An account was logged off."
"2026-07-13 00:42:24","4672","SYSTEM","127.0.0.1","SUCCESS","Special privileges assigned to new logon."
"2026-07-13 00:42:24","4624","SYSTEM","127.0.0.1","SUCCESS","An account was successfully logged on."
"2026-07-13 00:42:27","4672","SYSTEM","127.0.0.1","SUCCESS","Special privileges assigned to new logon."
"2026-07-13 00:42:27","4624","SYSTEM","127.0.0.1","SUCCESS","An account was successfully logged on."
"2026-07-13 13:49:32","4672","SYSTEM","127.0.0.1","SUCCESS","Special privileges assigned to new logon."
"2026-07-13 13:49:32","4624","SYSTEM","127.0.0.1","SUCCESS","An account was successfully logged on."
